2020-02-07 13:42:29,588 INFO pid=4588 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-02-07 13:42:29,588 INFO pid=4588 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-02-07 13:42:29,589 INFO pid=4588 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-02-07 13:42:29,591 INFO pid=4588 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-02-07 13:42:29,591 INFO pid=4588 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-02-07 13:43:11,078 INFO pid=5088 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-02-07 13:43:11,078 INFO pid=5088 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-02-07 13:43:11,080 INFO pid=5088 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-02-07 13:43:11,081 INFO pid=5088 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-02-07 13:43:11,081 INFO pid=5088 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-02-07 13:51:49,563 INFO pid=6684 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-02-07 13:51:49,563 INFO pid=6684 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-02-07 13:51:49,565 INFO pid=6684 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-02-07 13:51:49,567 INFO pid=6684 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-02-07 13:51:49,567 INFO pid=6684 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-02-13 17:05:52,035 INFO pid=1669 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-02-13 17:05:52,059 INFO pid=1669 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-02-13 17:05:52,069 INFO pid=1669 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-02-13 17:05:52,072 INFO pid=1669 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-02-13 17:05:52,072 INFO pid=1669 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-02-13 17:12:56,937 INFO pid=2518 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-02-13 17:12:56,938 INFO pid=2518 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-02-13 17:12:56,940 INFO pid=2518 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-02-13 17:12:56,941 INFO pid=2518 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-02-13 17:12:56,941 INFO pid=2518 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-02-14 04:41:08,497 INFO pid=1092 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-02-14 04:41:08,499 INFO pid=1092 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-02-14 04:41:08,501 INFO pid=1092 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-02-14 04:41:08,507 INFO pid=1092 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-02-14 04:41:08,507 INFO pid=1092 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-02-14 04:49:33,659 INFO pid=1839 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-02-14 04:49:33,659 INFO pid=1839 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-02-14 04:49:33,661 INFO pid=1839 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-02-14 04:49:33,662 INFO pid=1839 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-02-14 04:49:33,662 INFO pid=1839 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-02-14 04:52:39,093 INFO pid=2649 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-02-14 04:52:39,094 INFO pid=2649 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-02-14 04:52:39,095 INFO pid=2649 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-02-14 04:52:39,096 INFO pid=2649 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-02-14 04:52:39,096 INFO pid=2649 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
